,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
0,Mission: Impossible - Dead Reckoning Part One,2023,163,7.9,81.0,159725,
1,Oppenheimer,2023,180,8.5,88.0,461199,
2,The Exorcist,1973,122,8.1,82.0,438132,232.91
3,Get Out,2017,104,7.8,85.0,661674,176.04
4,Saw,2004,103,7.6,46.0,450429,56.0
5,John Wick: Chapter 4,2023,169,7.8,78.0,286491,
6,The Nightmare Before Christmas,1993,76,7.9,82.0,359396,75.08
7,Spider-Man: Across the Spider-Verse,2023,140,8.7,86.0,276850,
8,Halloween,1978,91,7.7,87.0,295750,47.0
9,Dune,2021,155,8.0,74.0,720527,108.33
10,Past Lives,2023,105,8.0,94.0,32604,
11,Guardians of the Galaxy Vol. 3,2023,150,7.9,64.0,331505,
12,The Wolf of Wall Street,2013,180,8.2,75.0,1516806,116.9
13,The Shawshank Redemption,1994,142,9.3,82.0,2808843,28.34
14,Harry Potter and the Sorcerer's Stone,2001,152,7.6,65.0,828398,317.58
15,The Shining,1980,146,8.4,66.0,1074322,44.02
16,The Godfather,1972,175,9.2,100.0,1957405,134.97
17,Interstellar,2014,169,8.7,74.0,2000052,188.02
18,The Batman,2022,176,7.8,72.0,737463,369.35
19,The Dark Knight,2008,152,9.0,84.0,2790531,534.86
20,Everything Everywhere All at Once,2022,139,7.8,81.0,483391,72.86
21,The Thing,1982,109,8.2,57.0,449823,13.78
22,The Silence of the Lambs,1991,118,8.6,86.0,1499987,130.74
23,Titanic,1997,194,7.9,75.0,1249700,659.33
24,Pulp Fiction,1994,154,8.9,95.0,2154130,107.93
25,Fight Club,1999,139,8.8,67.0,2243226,37.03
26,Top Gun: Maverick,2022,130,8.3,78.0,635031,718.73
27,Alien,1979,117,8.5,89.0,922766,78.9
28,Inception,2010,148,8.8,74.0,2476744,292.58
29,Gladiator,2000,155,8.5,67.0,1568651,187.71
30,Coraline,2009,100,7.7,80.0,253319,75.29
31,Blade Runner 2049,2017,164,8.0,81.0,627321,92.05
32,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1950949,315.54
33,American Beauty,1999,122,8.3,84.0,1188649,130.1
34,Once Upon a Time in Hollywood,2019,161,7.6,83.0,804008,142.5
35,Pride & Prejudice,2005,129,7.8,82.0,318442,38.41
36,Joker,2019,122,8.4,59.0,1410100,335.45
37,The Big Short,2015,130,7.8,81.0,465777,70.26
38,The Departed,2006,151,8.5,85.0,1384550,132.38
39,Se7en,1995,127,8.6,65.0,1740598,100.13
40,Heat,1995,170,8.3,76.0,695797,67.44
41,No Country for Old Men,2007,122,8.2,92.0,1026825,74.28
42,American Psycho,2000,102,7.6,64.0,680679,15.07
43,Ghostbusters,1984,105,7.8,71.0,433322,238.63
44,Inglourious Basterds,2009,153,8.4,69.0,1530943,120.54
45,The Gentlemen,2019,113,7.8,51.0,372739,36.47
46,The Princess Bride,1987,98,8.0,77.0,441822,30.86
47,Black Swan,2010,108,8.0,79.0,802414,106.95
48,The Goonies,1985,114,7.7,62.0,290565,61.5
49,Schindler's List,1993,195,9.0,95.0,1411999,96.9
50,Parasite,2019,132,8.5,96.0,894489,53.37
51,Sicario,2015,121,7.7,82.0,456922,46.89
52,Requiem for a Dream,2000,102,8.3,71.0,877536,3.64
53,The Whale,2022,117,7.7,60.0,182828,
54,Prisoners,2013,153,8.1,70.0,774652,61.0
55,Gone Girl,2014,149,8.1,79.0,1033719,167.77
56,Blade Runner,1982,117,8.1,84.0,802718,32.87
57,Goodfellas,1990,145,8.7,92.0,1219295,46.84
58,The Prestige,2006,130,8.5,66.0,1401342,53.09
59,Back to the Future,1985,116,8.5,87.0,1267989,210.61
60,Taxi Driver,1976,114,8.2,94.0,889133,28.26
